2026-05-16 14:58:23.965 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 14:58:23.965 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 14:58:24.020 | WARNING  | Sobrevivencia.presentation.ui:__init__:95 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 14:58:24.020 | WARNING  | Sobrevivencia.presentation.ui:__init__:95 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 15:49:17.267 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 15:49:17.308 | WARNING  | Sobrevivencia.presentation.ui:__init__:95 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 15:49:52.467 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 15:49:52.467 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 15:49:52.496 | WARNING  | Sobrevivencia.presentation.ui:__init__:95 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 15:49:52.496 | WARNING  | Sobrevivencia.presentation.ui:__init__:95 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 19:54:26.007 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 19:54:26.069 | WARNING  | Sobrevivencia.presentation.ui:__init__:95 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 19:54:26.875 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-16 19:56:21.866 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 19:56:21.928 | WARNING  | Sobrevivencia.presentation.ui:__init__:95 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 19:56:42.605 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 19:56:42.605 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 19:56:42.633 | WARNING  | Sobrevivencia.presentation.ui:__init__:95 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 19:56:42.633 | WARNING  | Sobrevivencia.presentation.ui:__init__:95 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 20:22:08.547 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 20:22:08.598 | WARNING  | Sobrevivencia.presentation.ui:__init__:95 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 20:27:02.881 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 20:27:03.023 | WARNING  | Sobrevivencia.presentation.ui:__init__:95 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 20:28:29.110 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 20:28:29.165 | WARNING  | Sobrevivencia.presentation.ui:__init__:95 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 21:16:00.233 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 21:16:00.333 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 21:16:01.200 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-16 21:24:17.809 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 21:24:17.865 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 21:38:24.697 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 21:38:24.697 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 21:38:24.877 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 21:38:24.877 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 22:10:52.973 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 22:10:53.136 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 22:29:27.916 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 22:29:28.069 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 22:38:55.363 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 22:38:55.449 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 22:38:56.054 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-16 23:18:25.554 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 23:18:25.672 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 23:19:38.344 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 23:19:38.400 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 23:27:23.515 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 23:27:23.594 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 23:27:37.782 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 23:27:37.782 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 23:27:37.871 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 23:27:37.871 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 23:27:50.871 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 23:27:50.871 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 23:27:50.871 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-16 23:27:50.908 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 23:27:50.908 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-16 23:27:50.908 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 00:22:10.514 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 00:22:10.581 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 00:27:30.694 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 00:27:30.780 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 00:34:44.789 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 00:34:44.913 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 00:36:17.246 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 00:36:17.323 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 00:37:42.317 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 00:37:42.386 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 00:41:59.653 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 00:41:59.722 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 00:42:01.020 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-17 00:43:00.267 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 00:43:00.356 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 00:43:01.386 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-17 00:43:01.402 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-17 00:44:24.920 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 00:44:25.010 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 00:46:22.310 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 00:46:22.310 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 00:46:22.337 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 00:46:22.337 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 00:50:41.418 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 00:50:41.457 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 00:50:42.120 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-17 01:11:34.356 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 01:11:34.413 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 01:11:35.996 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-17 01:11:36.013 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-17 01:13:47.678 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 01:13:47.745 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 01:13:48.512 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-17 01:13:48.528 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-17 01:46:55.000 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
